           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
   12684.443427 [0002]  budgie-wm[1560]                     0.085      0.006      0.089 
   12684.443621 [0001]  <idle>                              0.017      0.000      0.284 
   12684.443625 [0001]  gfx[850]                            0.284      0.002      0.004 
   12684.444796 [0007]  <idle>                              0.036      0.000      6.537 
   12684.444801 [0007]  rcu_preempt[15]                     8.007      0.010      0.005 
   12684.452787 [0007]  <idle>                              0.005      0.000      7.985 
   12684.452792 [0007]  rcu_preempt[15]                     7.985      0.009      0.005 
   12684.456520 [0000]  <idle>                              0.012      0.000     13.104 
   12684.456522 [0003]  <idle>                              0.047      0.000     14.168 
   12684.456539 [0003]  kworker/u32:13-[17311]             14.168      0.008      0.017 
   12684.456547 [0002]  <idle>                              0.089      0.000     13.120 
   12684.456559 [0000]  Xorg[1087]                         13.104      0.004      0.038 
   12684.456625 [0000]  <idle>                              0.038      0.000      0.066 
   12684.456638 [0002]  budgie-wm[1560]                    13.120      0.008      0.091 
   12684.456647 [0006]  <idle>                              0.900      0.000     13.918 
   12684.456650 [0000]  Xorg[1087]                          0.066      0.007      0.025 
   12684.456698 [0006]  tilix[2046]                        13.918      0.007      0.050 
   12684.456866 [0006]  <idle>                              0.050      0.000      0.167 
   12684.456896 [0004]  <idle>                              0.028      0.000     13.572 
   12684.456896 [0006]  code[17718/17638]                  50.031      0.005      0.030 
   12684.456917 [0004]  code[17677/17638]                   0.000      0.007      0.021 
   12684.456919 [0000]  <idle>                              0.025      0.000      0.269 
   12684.457083 [0004]  <idle>                              0.021      0.000      0.165 
   12684.457088 [0004]  code[17677/17638]                   0.165      0.006      0.005 
   12684.457103 [0004]  <idle>                              0.005      0.000      0.014 
   12684.457107 [0004]  code[17677/17638]                   0.014      0.004      0.003 
   12684.457112 [0000]  code[17638]                         0.000      0.007      0.192 
   12684.457688 [0002]  <idle>                              0.091      0.000      1.049 
   12684.457716 [0000]  <idle>                              0.192      0.000      0.604 
   12684.457717 [0002]  budgie-wm[1560]                     1.049      0.005      0.028 
   12684.457740 [0002]  <idle>                              0.028      0.000      0.023 
   12684.457744 [0000]  Xorg[1087]                          1.066      0.006      0.027 
   12684.457980 [0000]  <idle>                              0.027      0.000      0.235 
   12684.457985 [0002]  budgie-wm[1560]                     0.023      0.006      0.244 
   12684.457994 [0000]  Xorg[1087]                          0.235      0.005      0.013 
   12684.457996 [0002]  <idle>                              0.244      0.000      0.011 
   12684.458250 [0006]  <idle>                              0.030      0.000      1.353 
   12684.458267 [0002]  budgie-wm[1560]                     0.011      0.007      0.271 
   12684.458314 [0001]  <idle>                              0.004      0.000     14.688 
   12684.458324 [0006]  budgie-wm:cs0[1567/1560]           16.586      0.009      0.074 
